epoch,loss,accuracy
587, 0.00215,29.763
588, 0.00215,30.016
589, 0.00215,30.454
590, 0.00215,29.648
591, 0.00216,29.993
592, 0.00217,30.223
593, 0.00215,30.431
594, 0.00215,30.638
595, 0.00215,29.993
596, 0.00216,30.362
597, 0.00216,29.901
598, 0.00215,30.039
599, 0.00214,30.339
600, 0.00215,30.569
601, 0.00214,30.316
602, 0.00215,29.417
603, 0.00215,30.016
604, 0.00215,29.924
605, 0.00214,30.822
606, 0.00216,30.408
607, 0.00214,30.108
608, 0.00215,30.707
609, 0.00215,30.431
610, 0.00216,29.947
611, 0.00216,29.901
612, 0.00216,30.270
613, 0.00215,30.316
614, 0.00216,29.878
615, 0.00215,30.500
616, 0.00215,29.993
617, 0.00215,30.131
618, 0.00215,29.740
619, 0.00214,30.362
620, 0.00216,30.293
621, 0.00215,29.855
622, 0.00215,29.947
623, 0.00215,30.039
624, 0.00214,30.131
625, 0.00217,29.970
626, 0.00214,29.809
627, 0.00215,29.486
628, 0.00215,30.108
629, 0.00214,30.154
630, 0.00215,30.316
631, 0.00214,30.799
632, 0.00214,29.970
633, 0.00216,30.016
634, 0.00215,29.394
635, 0.00215,30.108
636, 0.00216,29.901
637, 0.00216,30.385
638, 0.00215,30.938
639, 0.00216,29.878
640, 0.00213,30.085
641, 0.00213,30.408
642, 0.00217,29.763
643, 0.00215,30.500
644, 0.00216,29.394
645, 0.00216,30.776
646, 0.00214,30.339
647, 0.00215,30.938
648, 0.00214,30.293
649, 0.00214,30.776
650, 0.00215,30.454
651, 0.00214,30.523
652, 0.00214,30.316
653, 0.00215,30.684
654, 0.00215,29.993
655, 0.00215,29.947
656, 0.00214,30.293
657, 0.00214,30.661
658, 0.00215,30.246
659, 0.00215,30.523
660, 0.00216,29.947
661, 0.00215,30.223
662, 0.00216,29.325
663, 0.00214,30.200
664, 0.00215,30.500
665, 0.00214,30.039
666, 0.00215,30.592
667, 0.00214,30.062
668, 0.00213,30.316
669, 0.00213,30.799
670, 0.00215,29.970
671, 0.00213,30.500
672, 0.00214,29.532
673, 0.00214,30.477
674, 0.00216,29.970
675, 0.00214,30.270
676, 0.00216,30.293
677, 0.00214,30.223
678, 0.00216,30.039
679, 0.00215,30.246
680, 0.00216,29.671
681, 0.00215,30.085
682, 0.00213,30.684
683, 0.00213,30.546
684, 0.00215,30.385
685, 0.00214,30.592
686, 0.00215,30.246
687, 0.00214,30.661
688, 0.00215,29.970
689, 0.00216,30.408
690, 0.00214,30.016
691, 0.00216,29.970
692, 0.00216,29.717
693, 0.00215,29.763
694, 0.00216,30.592
695, 0.00215,30.223
696, 0.00214,29.463
697, 0.00213,30.062
698, 0.00214,30.362
699, 0.00213,30.385
700, 0.00214,30.753
701, 0.00214,30.223
702, 0.00214,30.822
703, 0.00214,30.477
704, 0.00215,30.270
705, 0.00214,30.776
706, 0.00215,30.270
707, 0.00215,30.085
708, 0.00214,30.039
709, 0.00215,30.108
710, 0.00215,30.431
711, 0.00214,30.131
712, 0.00215,31.053
713, 0.00214,30.270
714, 0.00215,30.039
715, 0.00214,29.924
716, 0.00215,30.615
717, 0.00214,30.546
718, 0.00214,30.915
719, 0.00216,30.270
720, 0.00216,30.339
721, 0.00215,30.223
722, 0.00216,30.938
723, 0.00214,30.891
724, 0.00214,30.039
725, 0.00215,31.168
726, 0.00214,29.555
727, 0.00213,30.984
728, 0.00213,30.431
729, 0.00214,30.431
730, 0.00215,30.592
731, 0.00213,30.177
732, 0.00214,30.223
733, 0.00214,30.362
734, 0.00215,30.569
735, 0.00215,29.210
736, 0.00213,30.316
737, 0.00213,30.293
738, 0.00215,29.671
739, 0.00214,29.740
740, 0.00215,30.638
741, 0.00214,30.339
742, 0.00215,30.039
743, 0.00213,30.200
744, 0.00214,30.592
745, 0.00215,30.730
746, 0.00213,30.431
747, 0.00213,30.776
748, 0.00215,29.970
749, 0.00215,30.822
750, 0.00215,31.030
751, 0.00213,30.039
752, 0.00214,30.500
753, 0.00214,30.039
754, 0.00214,30.200
755, 0.00215,30.385
756, 0.00215,29.901
757, 0.00214,30.454
758, 0.00214,30.131
759, 0.00214,30.062
760, 0.00213,30.684
761, 0.00213,30.477
762, 0.00213,30.477
763, 0.00214,30.085
764, 0.00214,30.546
765, 0.00214,30.177
766, 0.00215,30.039
767, 0.00214,30.362
768, 0.00213,30.615
769, 0.00214,30.523
770, 0.00215,29.740
771, 0.00214,30.569
772, 0.00213,31.053
773, 0.00216,30.223
774, 0.00214,30.454
775, 0.00215,30.477
776, 0.00214,30.546
777, 0.00213,30.638
778, 0.00214,30.661
779, 0.00213,31.099
780, 0.00216,30.915
781, 0.00214,30.753
782, 0.00213,30.615
783, 0.00216,30.177
784, 0.00216,30.362
785, 0.00214,30.477
